organisation_name,organisation_slug,member_name,member_location,member_type,member_website
Landex (Land Based Colleges Aspiring to Excellence),landex,Coleg Cambria,Llysfasi,Full Member,https://www.cambria.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Reaseheath College,Cheshire,Full Member,https://www.reaseheath.ac.uk/
Landex (Land Based Colleges Aspiring to Excellence),landex,"Duchy College, Cornwall",Cornwall,Full Member,https://www.duchy.ac.uk/
Landex (Land Based Colleges Aspiring to Excellence),landex,"Duchy College, Bicton",Devon,Full Member,https://www.cornwall.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Kingston Maurward,Dorchester,Full Member,https://www.kmc.ac.uk/
Landex (Land Based Colleges Aspiring to Excellence),landex,City College Norwich,Easton,Full Member,https://www.easton.ac.uk/
Landex (Land Based Colleges Aspiring to Excellence),landex,Suffolk New College,Otley,Full Member,https://www.suffolk.ac.uk/
Landex (Land Based Colleges Aspiring to Excellence),landex,Writtle University College,Chelmsford,Full Member,https://writtle.ac.uk/
Landex (Land Based Colleges Aspiring to Excellence),landex,North Kent College,Kent,Full Member,https://www.hadlow.ac.uk/
Landex (Land Based Colleges Aspiring to Excellence),landex,Nottingham Trent University,Brackenhurst,Full Member,"https://www.ntu.ac.uk/study-and-courses/academic-schools/animal,-rural-and-environmental-sciences?utm_campaign=ares&utm_medium=ShortURL&utm_source=ShortURL&utm_term=ARES"
Landex (Land Based Colleges Aspiring to Excellence),landex,Derby College Group,Derby,Full Member,https://www.derby-college.ac.uk/
Landex (Land Based Colleges Aspiring to Excellence),landex,SMB College Group,Melton Mowbray,Full Member,https://www.brooksbymelton.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,"Hertfordshire, Ludlow and North Shropshire College",Shropshire,Full Member,https://www.nsc.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Harper Adams Univsersity,Shropshire,Full Member,https://www.harper-adams.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Moulton College,Northamptonshire,Full Member,https://www.moulton.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,South Staffordshire College,Rodbaston,Full Member,https://www.southstaffs.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Bridgwater & Taunton College,Bridgwater,Full Member,https://www.btc.ac.uk/
Landex (Land Based Colleges Aspiring to Excellence),landex,Hartpury University & Hartpury College,Gloucester,Full Member,https://www.hartpury.ac.uk/
Landex (Land Based Colleges Aspiring to Excellence),landex,"Herefordshire, Ludlow and North Shropshire College",Shropshire,Full Member,https://www.hlcollege.ac.uk/home
Landex (Land Based Colleges Aspiring to Excellence),landex,Warwickshire College (Pershore),Warwickshire,Full Member,https://wcg.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Warwickshire College (Moreton Morrel),Warwickshire,Full Member,https://wcg.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Royal Agriculture University,Gloucestershire,Full Member,https://www.rau.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Wiltshire College,Lackham,Full Member,https://www.wiltshire.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Sparsholt College,Hampshire,Full Member,https://www.sparsholt.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Chichester College,Brinsbury,Full Member,https://www.chichester.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Plumpton College,East Sussex,Full Member,https://www.plumpton.ac.uk/
Landex (Land Based Colleges Aspiring to Excellence),landex,Active Learning,Merrist Wood,Full Member,https://merristwood.activatelearning.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Berkshire College of Agriculture,Berkshire,Full Member,https://www.bca.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Capel Manor College,Enfield,Full Member,https://www.capel.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,"Bedford College, Shuttleworth",Bedford,Full Member,https://bedfordcollegegroup.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Solihull College,Solihull,Affiliate Member,https://solihull.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,Oaklands College,Hertfordshire,Affiliate Member,https://www.oaklands.ac.uk
Landex (Land Based Colleges Aspiring to Excellence),landex,College of West Anglia,Kings Lynn,Full Member,https://cwa.ac.uk/
Landex (Land Based Colleges Aspiring to Excellence),landex,Oxfordshire,,Full Member,https://abingdon-witney.ac.uk/campuses/common-leys-farm
Association of Employment and Learning Providers (AELP),aelp,,,,
Natspec (The Association of National Specialist Colleges),natspec,,,,
HOLEX (The Specialist Network for Adult Community Education),holex,,,,
Sixth Form Colleges Association (SFCA),sfca,,,,
Collab Group,collab-group,,,,
